"","SRR10025177","SRR10025178","SRR10025179","SRR9119213","SRR9119214","SRR9119215","SRR7050693","SRR7050694","SRR7050695","SRR15809339","SRR15809340","SRR13640879","SRR13640881","SRR13640883","SRR6292438","SRR6292439"
"ENSMUSG00000066877.12",367,336,464,51,50,36,136,118,128,48,121,36,27,90,25,31
"ENSMUSG00000026051.9",8,8,16,0,0,0,2,0,0,1,0,0,0,0,0,0
"ENSMUSG00000057363.13",487,563,1113,208,169,239,432,417,430,41,68,323,392,334,49,61
"ENSMUSG00000041763.15",3390,3592,9192,650,475,537,1776,1843,2016,523,623,590,721,918,174,199
"ENSMUSG00000047343.5",77,71,159,0,0,1,5,1,4,1,3,0,0,0,0,0
"ENSMUSG00000091844.3",130,138,221,1,0,2,7,5,10,14,13,0,2,13,0,0
"ENSMUSG00000026049.12",105,115,302,68,61,64,82,91,186,35,47,64,86,83,46,28
"ENSMUSG00000026047.14",328,377,602,122,81,84,283,233,266,150,253,201,198,211,58,49
"ENSMUSG00000041684.12",547,633,1269,287,230,272,528,585,558,185,221,199,240,297,72,86
"ENSMUSG00000026048.17",2159,2161,3489,381,289,260,820,848,883,613,1050,308,401,331,172,161
"ENSMUSG00000046828.4",6,4,4,0,0,0,2,0,2,0,0,0,0,0,0,0
"ENSMUSG00000056870.10",45,53,169,6,9,4,24,23,33,22,23,1,3,7,13,2
"ENSMUSG00000026043.19",3107,4566,8294,751,297,271,1238,1171,1526,588,608,485,559,926,175,120
"ENSMUSG00000026042.17",383,498,1060,270,50,54,216,231,286,138,153,63,78,171,18,16
"ENSMUSG00000025995.17",708,708,1467,229,184,206,484,395,496,281,375,237,282,286,157,83
"ENSMUSG00000025993.11",7013,8133,15806,5665,3477,4541,7036,8389,10719,1776,1900,2195,3386,4689,1967,1506
"ENSMUSG00000041144.13",161,145,208,1,1,2,8,8,8,14,10,5,0,0,0,5
"ENSMUSG00000101337.7",22,10,33,0,2,2,6,7,3,3,5,0,0,6,6,0
"ENSMUSG00000025986.7",243,274,542,63,43,64,207,181,179,101,116,67,72,63,19,15
"ENSMUSG00000026109.15",1,9,7,0,0,0,0,0,6,0,0,0,0,0,0,0
"ENSMUSG00000045954.8",1053,1189,1983,396,141,311,810,785,1044,182,217,329,351,501,181,106
"ENSMUSG00000026107.12",1033,993,2625,169,130,174,509,651,594,408,703,299,295,367,69,53
"ENSMUSG00000018417.15",10251,11245,17252,3674,3143,3881,7372,6732,7254,1434,2138,2113,3867,2281,1170,983
"ENSMUSG00000062939.12",83,71,389,7,6,6,21,13,23,18,12,1,8,44,5,0
"ENSMUSG00000026104.15",1114,1022,3333,574,701,374,1557,1031,1193,359,363,796,1141,3779,287,207
"ENSMUSG00000026103.15",1244,1150,5733,134,65,71,306,308,371,269,329,99,161,291,34,28
"ENSMUSG00000002881.15",3534,3626,6966,1593,1120,1411,1947,1950,2678,423,478,1287,1742,1882,888,667
"ENSMUSG00000043015.16",122,92,670,36,21,13,54,69,51,71,124,28,20,43,21,7
"ENSMUSG00000041439.16",649,645,1053,301,233,213,474,431,422,23,96,240,300,310,142,79
"ENSMUSG00000026102.10",974,1016,1633,301,230,253,667,707,653,408,474,140,195,342,258,126
"ENSMUSG00000041426.13",2560,2963,6224,1522,1622,1508,3530,3952,3933,597,385,1391,1654,1662,572,650
"ENSMUSG00000043629.13",58,86,188,8,15,11,31,29,14,7,8,8,1,15,0,2
"ENSMUSG00000026100.7",0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000060715.10",21,15,53,1,0,0,0,3,2,3,16,2,5,0,0,1
"ENSMUSG00000026098.14",879,873,1702,86,77,81,267,266,269,66,141,35,77,66,18,12
"ENSMUSG00000026097.10",272,269,634,341,520,491,679,700,849,58,58,231,315,387,64,80
"ENSMUSG00000100679.2",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000026096.15",478,475,1324,318,319,243,690,684,702,179,273,157,291,237,47,73
"ENSMUSG00000099913.2",9,10,32,4,1,0,14,4,9,18,17,7,2,0,0,0
"ENSMUSG00000026095.16",97,122,219,148,190,112,238,215,245,119,127,129,158,153,46,77
"ENSMUSG00000117809.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096141.3",4,9,12,0,0,0,5,4,3,0,0,0,0,7,0,0
"ENSMUSG00000026094.15",383,430,2896,154,75,99,304,248,564,81,85,89,229,510,44,29
"ENSMUSG00000042807.16",1020,1137,1473,59,23,40,161,196,206,36,50,27,26,11,35,14
"ENSMUSG00000025983.12",20,29,31,3,1,2,4,4,7,2,3,21,1,1,8,1
"ENSMUSG00000041303.8",1014,1121,2121,274,289,303,704,770,762,142,215,126,271,251,109,95
"ENSMUSG00000109809.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000073678.5",1458,1616,5230,352,310,290,632,1079,791,219,334,260,319,471,130,134
"ENSMUSG00000052331.15",1149,1214,2951,145,98,72,367,364,423,102,98,62,99,216,38,35
"ENSMUSG00000025982.14",9526,9826,24230,2502,1820,1824,5925,6521,6190,4710,7356,2279,3165,3711,905,953
"ENSMUSG00000025981.14",431,389,1012,412,394,189,628,1213,534,188,240,859,799,1308,90,134
"ENSMUSG00000025980.15",14933,17941,35713,9063,10562,11152,17697,19516,17653,1837,1615,7400,10197,9380,2712,2554
"ENSMUSG00000073676.5",3448,4114,5888,2592,3593,2650,4407,4017,3892,1052,801,2263,2738,2667,1428,986
"ENSMUSG00000025979.14",770,800,2785,420,385,418,688,915,1041,386,385,338,386,454,137,122
"ENSMUSG00000025978.15",93,108,116,24,19,16,42,44,52,22,7,13,19,25,3,6
"ENSMUSG00000046994.10",315,313,919,64,49,51,127,123,145,155,148,63,127,77,41,29
"ENSMUSG00000025977.16",12,8,31,1,0,1,0,5,0,2,0,0,0,0,0,0
"ENSMUSG00000038349.11",128,138,311,25,6,9,26,33,42,14,7,13,8,22,1,1
"ENSMUSG00000045336.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038331.16",196,248,97,12,12,9,35,29,33,16,24,1,11,20,27,7
"ENSMUSG00000038323.4",706,776,1852,397,430,533,760,874,1161,296,388,255,275,398,181,208
"ENSMUSG00000048495.17",265,236,576,108,179,100,337,318,405,114,162,88,122,117,28,98
"ENSMUSG00000025971.7",545,550,1356,286,319,287,421,524,531,175,145,199,285,252,69,143
"ENSMUSG00000038305.16",156,178,277,50,34,25,50,47,56,16,18,2,12,55,34,17
"ENSMUSG00000054770.17",562,567,1057,113,106,87,283,263,292,275,436,86,104,116,126,66
"ENSMUSG00000026039.10",7,13,94,4,2,1,1,2,4,2,5,0,0,21,0,0
"ENSMUSG00000063558.5",10137,10395,10848,1408,1163,1696,2855,2826,2796,2055,4646,808,1007,1700,1342,961
"ENSMUSG00000064294.13",27057,27307,42639,2342,4144,2895,13449,14261,13989,2012,5945,4763,4978,5964,2677,2644
"ENSMUSG00000038242.13",0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000079554.3",11,18,22,4,1,3,3,5,5,2,1,1,9,8,4,0
"ENSMUSG00000051223.15",3888,4298,12161,2605,2121,2475,5947,6320,6483,1051,873,2209,3328,2951,774,838
"ENSMUSG00000026034.18",8221,8117,16812,1298,999,681,4126,4418,5863,4553,6930,924,1142,1344,409,468
"ENSMUSG00000026035.16",354,359,703,160,193,136,345,330,464,108,122,180,298,252,8,41
"ENSMUSG00000026036.18",479,557,921,348,269,306,570,515,476,91,124,369,370,324,217,139
"ENSMUSG00000026037.15",293,290,925,93,59,101,140,147,195,29,65,58,136,100,34,11
"ENSMUSG00000038174.15",1627,1887,4722,227,242,303,905,1456,951,406,407,110,239,316,64,127
"ENSMUSG00000026032.9",1260,1531,1096,883,1148,769,1782,1480,1686,578,341,752,1026,1024,1234,437
"ENSMUSG00000047528.14",22,26,38,3,14,4,27,25,21,5,0,0,0,4,0,5
"ENSMUSG00000026031.16",9667,11360,16220,1583,1349,1682,4726,5502,4847,1724,2631,1082,1680,2234,1220,858
"ENSMUSG00000026029.15",1576,1806,3130,764,575,600,954,1093,1339,568,683,418,721,899,465,296
"ENSMUSG00000026028.13",1736,1780,3116,434,311,370,952,1081,869,296,384,317,477,545,292,155
"ENSMUSG00000026027.14",1078,1198,1896,699,727,720,1400,1373,1441,428,485,540,596,664,475,362
"ENSMUSG00000072295.8",2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038079.15",108,120,186,81,114,52,189,200,142,38,55,68,91,96,64,44
"ENSMUSG00000079550.10",219,259,284,21,35,14,34,53,32,39,87,54,32,45,3,10
"ENSMUSG00000026024.15",8767,9272,11505,2698,2498,2323,2896,3667,3111,746,1258,2011,2524,1659,1317,666
"ENSMUSG00000026023.17",31,13,13,1,1,4,10,11,3,3,0,0,2,3,0,0
"ENSMUSG00000041075.9",1898,1843,1768,455,395,482,876,987,1133,440,663,321,315,298,255,181
"ENSMUSG00000047361.17",18,4,12,3,1,0,2,1,3,0,0,0,0,3,0,0
"ENSMUSG00000026021.16",819,868,2361,594,681,578,1333,1336,1444,355,267,429,654,818,139,213
"ENSMUSG00000026020.10",1142,1270,3120,317,249,274,675,664,822,333,387,421,610,442,143,94
